NOMBRE_COMUNA_EGRESO;NOMBRE_UNIDAD_EDUC;PROMEDIO_COLEGIO
SANTIAGO;CENTRO EDUCATIVO SALESIANOS ALAMEDA;630.559536423841
RENCA;LICEO POLITECNICO PARTICULAR ANDES;616.599693877551
MAIPU;COLEGIO DE ADULTOS PRESBITERIANO DE MAIPU;534.8214285714286
EL BOSQUE;COLEGIO VILLA SANTA MARIA;547.148
QUILICURA; ;605.5062594268477
SANTIAGO;LICEO POLIVALENTE A-28 EMILIA TORO DE BAL;534.0295667870037
PUENTE ALTO;ESCUELA INDUSTRIAL LAS NIEVES;565.16435
CERRO NAVIA;LICEO POLITECNICO SAN FRANCISCO SOLANO;537.732
ESTACION CENTRAL;COLEGIO FRANCISCANO MARIA REINA;640.6748275862069
MELIPILLA;LICEO POLIV. EL BOLLENAR;506.0225974025974
RECOLETA;LICEO PDTE.ARTURO ALESSANDRI-DIURNO;581.79
PUENTE ALTO;LICEO MUNIC.ING.MILITAR JUAN MACKENA O.;563.6113609467455
PROVIDENCIA;COL.  PART. SALES. EL PATROCINIO DE SAN JOSE;715.9957142857144
MAIPU;COLEGIO ESC.  JOSE MANSO DE VELASCO;561.2728571428571
PROVIDENCIA;COLEGIO PARTICULAR REGINA PACIS;634.0259829059828
PROVIDENCIA;COLEGIO COMPANIA DE MARIA-SEMINARIO;700.2805319148936
INDEPENDENCIA;INSTITUTO COMERCIAL PITAGORAS;605.37
LAMPA;COMPLEJO EDUCACIONAL DE LAMPA;567.5
LA GRANJA;COLEGIO SAN GREGORIO DE LA SALLE;637.2806603773585
LAS CONDES;COLEGIO SAN PATRICIO;657.23
PUENTE ALTO;COLEGIO POLIVALENTE ELISA VALDES;558.5651515151516
VITACURA;COLEGIO HUELEN;794.7755555555556
SAN BERNARDO;LICEO POLIVALENTE SANTIAGO DE COMPOSTELA;550.0967682926829
LA FLORIDA; ;605.5062594268477
LAMPA;LICEO BICENTENARIO MANUEL PLAZA REYES DE LAMPA;527.1479668049793
PEÑALOLEN;COLEGIO FRANCISCO DE MIRANDA;703.6789655172413
SAN MIGUEL;COLEGIO SANTA ROSA;615.0070247933885
ÑUÑOA;COLEGIO SAN AGUSTIN;765.7851968503937
LAMPA;ESCUELA BASICA CACIQUE COLIN;550.6038461538462
LAMPA;COMPLEJO EDUC.MUNIC.MANUEL PLAZA R ANEXO;639.1700000000001
MACUL;CENTRO EDUCACIONAL JULIO VERNE;560.75
SANTIAGO;COLEGIO INDUSTRIAL VASCO NUNEZ DE BALBOA;533.9583783783784
SANTIAGO;LICEO DARIO SALAS;577.5487179487179
INDEPENDENCIA;ESCUELA TECNICA L.BDO.O´HIGGINS-DIURNA;583.395
SAN JOAQUIN;INSTIT COMERCIAL LIB BDO O HIGGINS N 3;514.5
MAIPU;COLEGIO POLIVALENTE CAMILO HENRIQUEZ;693.2052459016393
TALAGANTE;COLEGIO ALCANTARA DE TALAGANTE;648.0251515151515
PROVIDENCIA;COLEGIO POLIV. PROF. GUILLERMO GONZALEZ HEIN;602.3377611940298
LO BARNECHEA;COLEGIO CRAIGHOUSE;799.7152985074628
RECOLETA;LICEO PAULA JARAQUEMADA;558.5959183673469
ISLA DE MAIPO; ;605.5062594268477
CERRILLOS;COLEGIO INDUSTRIAL PART. DON ORIONE;623.0344976076556
TALAGANTE;LICEO POLITECNICO DE TALAGANTE;521.266641221374
ÑUÑOA;LICEO POLITECNICO A N° 60 PRESIDENTE MANUEL MONTT;558.716
ÑUÑOA;INSTITUTO SUPERIOR DE COMERCIO DIEGO PORT;569.5327477477477
SAN JOSE DE MAIPO; ;605.5062594268477
SAN MIGUEL;INSTITUTO COMERCIAL PART D MADRID;544.5
SANTIAGO;COLEGIO SAN ANTONIO;639.9447887323944
SAN BERNARDO;COLEGIO DE LA INMACULADA CONCEPCIÓN;667.6353781512605
BUIN;LICEO POLIVALENTE MODERNO CARDENAL CARO;602.9809799554566
SANTIAGO;INSTITUTO COMERCIAL BLAS CANAS;568.1216233766233
LA PINTANA;LICEO MUNICIPALIZADO CENT.ED. LA PINTANA;583.0
EL BOSQUE;COLEGIO VILLA CORDILLERA;562.5
RECOLETA;LICEO COMERCIAL LUIS CORREA PRIETO;548.6268987341772
MAIPU;COMPLEJO EDUCACIONAL MAIPU;585.3176515151515
